G,t,e1,e2,e3,add,e4,trust,advice,survey,patient,male,eng,gt10,uscan,fair,code
3,1636.0,24,23,21,,,0,178,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,3a451ec9afb1e77eda726457934238e08ad108d9
3,6293.0,12,10,14,,,0,289,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,71d460999dea70499ff26b0d5a63fb94c9f5bd18
3,621.0,13,11,588,,,,0,,,,,,,,
3,730.0,13,9,10,,,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,06c09f579865aba0ee67f01632d293d17faa2f0a
3,1168.0,11,10,9,,,5,55,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,7963eb8bbdc3003b31e1a69c17428ba6a8809d15
3,1688.0,110,25,19,,,0,47,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,a799f0e467c22a37ce581cdf4c894e7ff1cdf579
3,1519.0,14,11,12,,,7,128,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,972bfc5aa7fa4c2ef94076706f85fdaa11421f34
3,1430.0,19,11,17,,,10,73,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7e5985f9a95663eefd3c397033c2179cf6b77702
3,1328.0,13,14,11,,,4,27,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,1d1623d86f531da767cfc68455d593a224c2ddc3
3,3608.0,61,10,10,,,5,110,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,ef500e472af98d93e18873f3dbc767f48242e668
3,578.0,13,11,11,,,10,75,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,07d6a0b6360d1356139e1d2e505650f3be699690
3,300.0,15,614,588,,,,0,,,,,,,,
3,537.0,31,667,588,,,,0,,,,,,,,
3,1292.0,15,13,12,,,15,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,3f5b7420ee7328c7e9cecbeee8b8a049ab96a834
3,1292.0,11,12,12,,,5,106,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,2299675a0e3f138402f7850dfcaf1cde0dbe1f40
3,1376.0,13,12,12,,,10,161,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,cfd1778bc35ca80e2a94929861183bc066ea9d7c
3,618.0,31,667,588,,,,0,,,,,,,,
3,721.0,13,11,9,,,0,76,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,58cbae73321fa19f6d5865cfa45e71babc4f4711
3,351.0,25,667,588,,,,0,,,,,,,,
3,641.0,15,667,588,,,,0,,,,,,,,
3,1709.0,11,13,16,,,5,124,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,a38fde83664e9be5d20b9d9862ad06babfdf7d7a
3,1922.0,12,11,9,,,15,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,b263ffca9e724bb340fdc0412eeecd1cc00a455e
3,3254.0,14,10,13,,,0,74,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,246f7159e0adda1fe16c364cc9c6f7dc6468eb54
3,1864.0,91,16,76,,,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,a9052b20fcc1b1641ef229a73a9b228dc4383b83
3,2551.0,16,9,10,,,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,09c3d6eff6429d58f0ed1251c735c2dd4ca14171
3,5326.0,80,17,12,,,10,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,4ec53366b757304d8808797782aecc922a8ffdbf
4,927.0,91,14,13,FALSE,,7,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,0ee045fd260f2171587380e2871232e1a78a7c0f
4,27.0,91,667,588,,,,0,,,,,,,,
4,452.0,11,667,588,FALSE,,2,57,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,85c87b9d1c8f55dc05e0d1360f6644346486cef6
4,1349.0,25,12,21,TRUE,16,5,39,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,7373113617391bb6bf57c58c356ef2bbeb189145
4,1068.0,11,12,12,TRUE,11,7,44,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,code: 01e352a9b086e3d6fc65dce0b19a1c312c3c1661
4,940.0,11,11,13,FALSE,,5,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,a83216bb5f4c542a8b5c1002c3a9b9b341765ffb
4,483.0,12,12,10,FALSE,,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,3a4a1add362604d310648ac7bcfeebbdc2a486cc
4,14586.0,17,15,49,FALSE,,15,51,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,72e61250ae316f20c51629271c3f81b8b6e7f287
4,955.0,14,10,14,TRUE,15,10,140,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,719e2fa7d06775d74cd68f24f9769a54331bb388
4,1128.0,14,9,13,TRUE,15,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,c604806d9b915f0a8801a00e74135129937da86c
4,1142.0,14,12,10,FALSE,,15,75,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,fd169e265a1644d2397e3dc1df8a8f6040a60c8c
4,837.0,11,18,13,TRUE,11,14,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,0aa743466e4d5f1e3da0e26c36e347d4a9550518
4,715.0,15,12,11,TRUE,11,5,94,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,code: daddc3958338bcca4803df96362a80d7b57b788d
4,1308.0,11,12,14,TRUE,12,0,210,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,bc6ba03937ee7797e010a27e74b5546e49cf398e
4,1285.0,84,11,9,TRUE,11,7,47,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,29bb32b3778ddcbcce3f6383deecdf9750d6a345
4,830.0,124,13,68,FALSE,,0,76,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,aa35fb54c644fd4f6930c1d4976a8b6aefcc9ca9
4,779.0,14,12,14,FALSE,,10,42,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,4c6856ead70aa769c2dd72124b22df34f3775ca5
4,962.0,12,11,73,TRUE,15,15,394,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,2c0ec6c4b77206333486bf5c01b7e2c6e10152f7
4,855.0,11,14,9,TRUE,11,5,65,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,bb50edd4be50b7f0b141fe5d74de87c756225f06
4,1793.0,19,11,9,TRUE,12,5,132,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,64d450b3c3057161db78388d41ba65e5b25d0771
4,897.0,14,12,13,TRUE,14,10,83,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,346217e2ebe2b3ac998adb423abf756137f3b994
4,592.0,15,11,12,FALSE,,5,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,ironwalker
4,612.0,12,66,9,TRUE,674,,0,,,,,,,,
4,913.0,61,11,10,TRUE,12,10,71,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,c33718284ebd87a0d576a12f1517201330096ed1
4,777.0,14,13,11,TRUE,11,5,32,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,e0a89a97ff27111fb743907ff4dc7976f56b139f
4,866.0,14,12,14,FALSE,,10,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,12cbe9c656ad924ee43b86167bc297f10effe95e
4,2936.0,15,74,14,TRUE,10,0,87,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,15bfab013570651cb802eab46ace270d870e48b6
4,1335.0,91,23,26,TRUE,23,0,44,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,d5ec6c382530d4775bfad2e562f2e92d4542dab6
4,1582.0,13,11,14,TRUE,11,10,112,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,4c2153e58fc7d575fc35e47168971511749915bf
5,466.0,13,9,588,FALSE,,13,62,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,1d035ef3c2e26f9b9d6f70a7c5fa07cb2d1e3d9f
5,1216.0,16,18,17,TRUE,674,3,89,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,1bbebff0efae301e92640748231c04325b2d4c5a
5,241.0,84,667,588,,,,0,,,,,,,,
5,167.0,691,667,588,FALSE,,2,0,TRUE,FALSE,,,,,,
5,553.0,15,11,12,FALSE,,2,33,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,b9936413f81025c8d65f5282f17d9f09f59c568f
5,625.0,12,10,17,FALSE,,5,100,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,bf94569dd5e08f905b354ff2bf1950b49a930e77
5,958.0,18,13,11,FALSE,,10,328,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,132039fd5ddda6ba33e467f57bb52cc7f41b9c7c
5,1061.0,85,11,10,FALSE,,15,75,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,045263d204bb7359cd1055222810fa43ce5c58fc
5,2347.0,11,13,13,TRUE,15,10,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,romero33
5,1574.0,12,11,11,FALSE,,15,24,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,d2151e72965e32b8276c84b84f54c7aeea7b43f9
5,721.0,13,667,588,,,,0,,,,,,,,
5,863.0,14,11,11,FALSE,,10,39,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,ed492103a9f6e32d04d2391c36cc3af59069e92f
5,852.0,12,9,10,FALSE,,5,185,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,cea060a1359d16add6a520743abe771388cc4579
5,1806.0,13,11,12,FALSE,,12,18,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,eb21d1cc300d71f6ad8f4734c2b5f42a7e5de80d
5,614.0,18,10,11,FALSE,,5,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,cf95ec26a51462de7b51ba67a52579bd7cc601cc
5,1099.0,41,130,80,FALSE,,6,133,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,11dd5d38e1bfd9730cc2b9914c1cf3fbe38b2583
5,1247.0,14,16,10,TRUE,15,15,432,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,3cc92029dd32f8ee67f3f5d32e5645dfe5962469
5,687.0,12,11,12,FALSE,,15,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,e0482c8a704e7b9756d7e8bcde8f7e6120502660
5,866.0,16,15,15,TRUE,19,10,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,b46d335e856d14c576c4f26a0ca2b370314eda96
5,2344.0,11,11,9,TRUE,14,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,109a9e7ca6ade56060a299523d31ef024d387699
5,1069.0,76,15,13,FALSE,,15,78,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,a7adaf25ea3021d40e6459ae88dff4b9c3250456
5,693.0,12,124,13,FALSE,,15,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,2e32d5e2fb9dad8d0cb495c7935d46933a703172
5,1419.0,11,14,9,TRUE,71,10,104,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,91d63632455f2b32e4e73bbd1c16fb7249a9f844
5,657.0,11,12,19,FALSE,,14,95,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,267ee944783aec157dc545113670c2966e545421
5,1479.0,38,95,27,FALSE,,5,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,fl93601ef2817ba4aflfb045da96486d6741790x
